pitch_id,phase_pct,pelvis_rotation_deg,torso_rotation_deg,lead_knee_extension_deg,shoulder_external_rotation_deg,hand_velocity_mph,event
1,0,14.639,22.977,43.679,80.424,0.0,
1,1,15.225,22.472,44.061,81.365,0.0,
1,2,15.537,23.631,44.025,81.368,0.0,
1,3,15.346,22.984,43.704,81.537,0.0,
1,4,16.103,23.535,44.262,82.639,0.0,
1,5,16.145,23.836,44.794,82.795,0.0,
1,6,16.407,24.07,44.168,83.145,0.0,
1,7,16.369,24.452,44.257,83.588,0.0,
1,8,16.462,24.814,44.558,84.174,0.0,
1,9,16.629,25.718,44.645,84.258,0.0,SFC
1,10,17.289,25.923,44.435,85.002,0.0,SFC
1,11,17.399,25.565,44.73,85.322,0.0,SFC
1,12,17.846,25.897,45.016,85.87,0.0,
1,13,17.886,25.912,44.964,86.148,0.0,
1,14,17.838,26.717,45.634,86.344,0.0,
1,15,17.776,26.99,45.819,86.993,0.0,
1,16,18.401,27.355,45.519,88.042,0.0,
1,17,18.856,28.045,46.006,88.425,0.0,
1,18,18.659,27.662,45.446,88.74,0.0,
1,19,18.51,28.41,45.559,89.112,0.0,
1,20,19.161,28.627,46.264,89.853,0.0,
1,21,19.089,28.955,45.805,89.993,0.0,
1,22,19.183,29.017,46.299,90.292,0.0,
1,23,19.158,28.91,46.201,90.819,0.0,
1,24,19.922,29.388,46.631,91.692,0.0,
1,25,19.617,30.064,46.05,92.073,0.0,
1,26,20.544,30.471,46.245,93.017,0.0,
1,27,20.696,30.342,46.09,93.259,0.0,
1,28,20.122,30.933,46.06,93.544,0.0,
1,29,20.829,30.752,46.959,94.577,0.0,
1,30,20.449,31.516,46.833,94.214,0.0,
1,31,21.395,31.708,46.537,94.958,0.001,
1,32,20.712,31.546,46.93,95.369,0.001,
1,33,21.346,31.734,47.156,96.487,0.001,
1,34,21.06,31.822,46.986,96.849,0.002,
1,35,21.697,32.531,46.694,97.196,0.004,
1,36,22.031,32.876,47.427,97.478,0.006,
1,37,21.9,32.435,47.541,98.228,0.009,
1,38,21.864,32.611,46.875,98.92,0.014,
1,39,22.088,33.231,47.432,99.386,0.021,
1,40,22.681,33.313,47.425,99.905,0.031,
1,41,22.201,33.364,47.171,100.043,0.046,
1,42,22.549,34.036,47.795,100.84,0.067,
1,43,22.975,34.501,47.212,101.445,0.098,
1,44,23.407,34.365,47.357,101.785,0.141,
1,45,22.82,34.49,47.131,102.369,0.201,
1,46,22.88,34.552,47.037,102.811,0.284,
1,47,23.561,34.679,47.963,103.174,0.397,
1,48,22.963,35.028,48.093,103.728,0.55,
1,49,23.06,34.618,47.413,104.212,0.753,
1,50,23.575,35.291,47.768,105.194,1.022,
1,51,23.717,35.128,47.955,105.628,1.373,
1,52,23.996,35.166,47.814,105.194,1.825,
1,53,23.833,35.76,47.786,106.522,2.403,
1,54,24.176,35.442,47.9,106.892,3.132,
1,55,23.862,35.607,47.675,106.496,4.042,
1,56,23.916,35.883,47.885,106.868,5.164,
1,57,24.53,36.515,47.673,107.568,6.532,
1,58,23.928,36.619,47.972,107.718,8.181,
1,59,24.833,36.647,47.704,108.472,10.143,
1,60,24.77,36.901,47.733,109.037,12.451,
1,61,24.905,36.441,48.028,109.316,15.132,
1,62,24.653,36.243,48.016,109.775,18.207,
1,63,24.765,36.928,47.586,109.634,21.689,
1,64,25.123,36.931,47.72,109.965,25.579,MER
1,65,24.941,36.433,48.21,110.799,29.868,MER
1,66,24.623,36.911,48.443,110.831,34.529,MER
1,67,24.962,36.65,47.712,110.817,39.519,
1,68,24.925,37.051,48.018,111.265,44.781,
1,69,24.731,37.093,47.854,111.497,50.239,
1,70,25.438,36.777,47.908,111.689,55.801,
1,71,24.772,36.914,48.184,111.989,61.362,
1,72,25.393,37.082,47.487,112.279,66.806,
1,73,25.349,37.11,47.753,112.708,72.009,
1,74,24.9,36.92,48.191,113.571,76.845,
1,75,25.465,37.09,47.701,113.624,81.19,
1,76,24.883,36.959,47.545,113.447,84.927,
1,77,24.729,36.632,47.728,113.93,87.952,
1,78,24.887,36.726,48.069,113.485,90.178,
1,79,25.107,37.199,47.427,114.082,91.541,
1,80,24.764,37.11,48.048,114.69,92.0,
1,81,24.537,36.644,47.504,114.225,91.541,
1,82,25.228,36.257,48.193,114.603,90.178,BR
1,83,24.433,36.281,47.867,114.978,87.952,BR
1,84,25.294,36.827,48.161,114.777,84.927,BR
1,85,25.047,36.338,47.587,114.607,81.19,
1,86,24.58,36.632,47.962,114.638,76.845,
1,87,24.724,35.777,47.744,114.563,72.009,
1,88,24.496,35.647,47.235,114.708,66.806,
1,89,25.015,36.495,47.136,115.405,61.362,
1,90,24.3,36.397,47.399,115.216,55.801,
1,91,24.681,35.899,47.872,115.093,50.239,
1,92,24.033,35.72,47.682,115.08,44.781,
1,93,24.557,35.852,47.839,114.649,39.519,
1,94,24.324,34.901,47.024,115.255,34.529,
1,95,24.302,35.005,47.035,115.21,29.868,
1,96,24.08,35.188,46.85,114.471,25.579,
1,97,24.019,34.484,46.79,114.436,21.689,
1,98,24.038,34.673,46.73,114.335,18.207,
1,99,23.753,34.977,46.854,114.313,15.132,
1,100,23.202,34.56,46.897,114.81,12.451,
